variable,label,include,comments,,,,,,,,,,,,,,,,,,,,,,,
qb005,How Much Effort,no,,,,,,,,,,,,,,,,,,,,,,,,
qb006,R's Position,no,,,,,,,,,,,,,,,,,,,,,,,,
pc001,Any Problem,no,,,,,,,,,,,,,,,,,,,,,,,,
pc002,which hand,no,,,,,,,,,,,,,,,,,,,,,,,,
pc003,UNDERSTAND THE DIRECTIONS OR NOT,no,,,,,,,,,,,,,,,,,,,,,,,,
qc001s1,Why Didn't R Complete Hand Strength Test,no,,,,,,,,,,,,,,,,,,,,,,,,
qc001s2,Why Didn't R Complete Hand Strength Test,no,,,,,,,,,,,,,,,,,,,,,,,,
qc001s3,Why Didn't R Complete Hand Strength Test,no,,,,,,,,,,,,,,,,,,,,,,,,
qc001s4,Why Didn't R Complete Hand Strength Test,no,,,,,,,,,,,,,,,,,,,,,,,,
qc001s5,Why Didn't R Complete Hand Strength Test,no,,,,,,,,,,,,,,,,,,,,,,,,
qc001s6,Why Didn't R Complete Hand Strength Test,no,,,,,,,,,,,,,,,,,,,,,,,,
qc001s7,Why Didn't R Complete Hand Strength Test,no,,,,,,,,,,,,,,,,,,,,,,,,
qc001s8,Why Didn't R Complete Hand Strength Test,no,,,,,,,,,,,,,,,,,,,,,,,,
qc001s97,Why Didn't R Complete Hand Strength Test,no,,,,,,,,,,,,,,,,,,,,,,,,
qc002,dominant hand,no,,,,,,,,,,,,,,,,,,,,,,,,
qc003,Left Hand-1(Kg),no,,,,,,,,,,,,,,,,,,,,,,,,
qc004,Right Hand-1(Kg),no,,,,,,,,,,,,,,,,,,,,,,,,
qc005,Left Hand-2(Kg),no,,,,,,,,,,,,,,,,,,,,,,,,
qc006,Right Hand-2(Kg),no,,,,,,,,,,,,,,,,,,,,,,,,
qc007,How much effort,no,,,,,,,,,,,,,,,,,,,,,,,,
qc008,R's Position,no,,,,,,,,,,,,,,,,,,,,,,,,
qc009,R rest their arm OR NOT,no,,,,,,,,,,,,,,,,,,,,,,,,
pd001,Any Problems Prevent Banlance,no,,,,,,,,,,,,,,,,,,,,,,,,
pd002,Understand The Directions or Not,no,,,,,,,,,,,,,,,,,,,,,,,,
qd001s1,Why Didn't R Complete The Semi-Tandem Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qd001s2,Why Didn't R Complete The Semi-Tandem Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qd001s3,Why Didn't R Complete The Semi-Tandem Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qd001s4,Why Didn't R Complete The Semi-Tandem Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qd001s5,Why Didn't R Complete The Semi-Tandem Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qd001s6,Why Didn't R Complete The Semi-Tandem Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qd001s7,Why Didn't R Complete The Semi-Tandem Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qd001s8,Why Didn't R Complete The Semi-Tandem Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qd001s97,Why Didn't R Complete The Semi-Tandem Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qd002,Complete The Test,no,,,,,,,,,,,,,,,,,,,,,,,,
qd003,Sec,no,,,,,,,,,,,,,,,,,,,,,,,,
qd004, use any compensatory movements?,no,,,,,,,,,,,,,,,,,,,,,,,,
pe001, which R is eligible,no,,,,,,,,,,,,,,,,,,,,,,,,
pe002,UNDERSTAND THE DIRECTIONS OR NOT,no,,,,,,,,,,,,,,,,,,,,,,,,
qe001s1,Why Didn't R Complete The Full-Tandem Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qe001s2,Why Didn't R Complete The Full-Tandem Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qe001s3,Why Didn't R Complete The Full-Tandem Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qe001s4,Why Didn't R Complete The Full-Tandem Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qe001s5,Why Didn't R Complete The Full-Tandem Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qe001s6,Why Didn't R Complete The Full-Tandem Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qe001s7,Why Didn't R Complete The Full-Tandem Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qe001s8,Why Didn't R Complete The Full-Tandem Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qe001s97,Why Didn't R Complete The Full-Tandem Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qe002,Complete The Test,no,,,,,,,,,,,,,,,,,,,,,,,,
qe003,Sec,no,,,,,,,,,,,,,,,,,,,,,,,,
qe004,use any compensatory movements?,no,,,,,,,,,,,,,,,,,,,,,,,,
qe005, the type of floor surface,no,,,,,,,,,,,,,,,,,,,,,,,,
qe006,How compliant,no,,,,,,,,,,,,,,,,,,,,,,,,
pf001,UNDERSTAND THE DIRECTIONS OR NOT,no,,,,,,,,,,,,,,,,,,,,,,,,
qf001s1,Why Didn't R Complete The Side-by-Side Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qf001s2,Why Didn't R Complete The Side-by-Side Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qf001s3,Why Didn't R Complete The Side-by-Side Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qf001s4,Why Didn't R Complete The Side-by-Side Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qf001s5,Why Didn't R Complete The Side-by-Side Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qf001s6,Why Didn't R Complete The Side-by-Side Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qf001s7,Why Didn't R Complete The Side-by-Side Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qf001s8,Why Didn't R Complete The Side-by-Side Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qf001s97,Why Didn't R Complete The Side-by-Side Stand?,no,,,,,,,,,,,,,,,,,,,,,,,,
qf002,Did R Hold Side-by-Side Stand for A Full 10 Seconds,no,,,,,,,,,,,,,,,,,,,,,,,,
qf003,Sec,no,,,,,,,,,,,,,,,,,,,,,,,,
qf004,use any compensatory movements?,no,,,,,,,,,,,,,,,,,,,,,,,,
qf005,The Type of Floor Surface,no,,,,,,,,,,,,,,,,,,,,,,,,
qf006,How compliant,no,,,,,,,,,,,,,,,,,,,,,,,,
pg002_1,R is eligible or not?,no,,,,,,,,,,,,,,,,,,,,,,,,
pg002,SAFE OR NOT,no,,,,,,,,,,,,,,,,,,,,,,,,
pg003,UNDERSTAND THE DIRECTIONS OR NOT,no,,,,,,,,,,,,,,,,,,,,,,,,
qg001s1,Why Didn't R Complete The Walking Speed Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qg001s2,Why Didn't R Complete The Walking Speed Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qg001s3,Why Didn't R Complete The Walking Speed Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qg001s4,Why Didn't R Complete The Walking Speed Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qg001s5,Why Didn't R Complete The Walking Speed Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qg001s6,Why Didn't R Complete The Walking Speed Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qg001s7,Why Didn't R Complete The Walking Speed Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qg001s8,Why Didn't R Complete The Walking Speed Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qg001s97,Why Didn't R Complete The Walking Speed Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qg002,Walking Speed Time-1,no,,,,,,,,,,,,,,,,,,,,,,,,
qg003,	Walking Speed Time-2,no,,,,,,,,,,,,,,,,,,,,,,,,
qg004,The Type of Floor Surface,no,,,,,,,,,,,,,,,,,,,,,,,,
qg005,type of aid used,yes,这种用辅助工具的都要,,,,,,,,,,,,,,,,,,,,,,,
qg006,How compliant,no,,,,,,,,,,,,,,,,,,,,,,,,
ph001,Understand or Not?,no,,,,,,,,,,,,,,,,,,,,,,,,
qh001s1,Why Didn't R Complete The Repeated Chair Stands?,no,,,,,,,,,,,,,,,,,,,,,,,,
qh001s2,Why Didn't R Complete The Repeated Chair Stands?,no,,,,,,,,,,,,,,,,,,,,,,,,
qh001s3,Why Didn't R Complete The Repeated Chair Stands?,no,,,,,,,,,,,,,,,,,,,,,,,,
qh001s4,Why Didn't R Complete The Repeated Chair Stands?,no,,,,,,,,,,,,,,,,,,,,,,,,
qh001s5,Why Didn't R Complete The Repeated Chair Stands?,no,,,,,,,,,,,,,,,,,,,,,,,,
qh001s6,Why Didn't R Complete The Repeated Chair Stands?,no,,,,,,,,,,,,,,,,,,,,,,,,
qh001s7,Why Didn't R Complete The Repeated Chair Stands?,no,,,,,,,,,,,,,,,,,,,,,,,,
qh001s8,Why Didn't R Complete The Repeated Chair Stands?,no,,,,,,,,,,,,,,,,,,,,,,,,
qh001s97,Why Didn't R Complete The Repeated Chair Stands?,no,,,,,,,,,,,,,,,,,,,,,,,,
qh002,Did R can stand up straight?,no,,,,,,,,,,,,,,,,,,,,,,,,
qh003,Sec,no,,,,,,,,,,,,,,,,,,,,,,,,
qh004,Sec,no,,,,,,,,,,,,,,,,,,,,,,,,
qh005,times,no,,,,,,,,,,,,,,,,,,,,,,,,
qh006,Chair Used for Test,no,,,,,,,,,,,,,,,,,,,,,,,,
qh006_1,Height of Other Chair,no,,,,,,,,,,,,,,,,,,,,,,,,
qh007,use his/her trunk arms or not?,no,,,,,,,,,,,,,,,,,,,,,,,,
pi001,Understand or Not?,no,,,,,,,,,,,,,,,,,,,,,,,,
qi001s1,Why Didn't R Complete The Height Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qi001s2,Why Didn't R Complete The Height Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qi001s3,Why Didn't R Complete The Height Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qi001s4,Why Didn't R Complete The Height Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qi001s5,Why Didn't R Complete The Height Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qi001s6,Why Didn't R Complete The Height Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qi001s7,Why Didn't R Complete The Height Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qi001s8,Why Didn't R Complete The Height Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qi001s97,Why Didn't R Complete The Height Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qi002,height,yes,,,,,,,,,,,,,,,,,,,,,,,,
qi003,How compliant?,no,,,,,,,,,,,,,,,,,,,,,,,,
pj001,Understand or Not?,no,,,,,,,,,,,,,,,,,,,,,,,,
qj001s1,Why Didn't R Complete The Arm Length Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qj001s2,Why Didn't R Complete The Arm Length Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qj001s3,Why Didn't R Complete The Arm Length Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qj001s4,Why Didn't R Complete The Arm Length Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qj001s5,Why Didn't R Complete The Arm Length Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qj001s6,Why Didn't R Complete The Arm Length Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qj001s7,Why Didn't R Complete The Arm Length Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qj001s8,Why Didn't R Complete The Arm Length Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qj001s97,Why Didn't R Complete The Arm Length Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qj002,Arm Length,no,,,,,,,,,,,,,,,,,,,,,,,,
qj003,Which Arm,no,,,,,,,,,,,,,,,,,,,,,,,,
qj004,How compliant?,no,,,,,,,,,,,,,,,,,,,,,,,,
pk001,Understand or Not?,no,,,,,,,,,,,,,,,,,,,,,,,,
qk001s1,Why Didn't R Complete The Knee Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qk001s2,Why Didn't R Complete The Knee Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qk001s3,Why Didn't R Complete The Knee Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qk001s4,Why Didn't R Complete The Knee Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qk001s5,Why Didn't R Complete The Knee Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qk001s6,Why Didn't R Complete The Knee Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qk001s7,Why Didn't R Complete The Knee Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qk001s8,Why Didn't R Complete The Knee Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qk001s97,Why Didn't R Complete The Knee Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qk002,Knee Height,no,,,,,,,,,,,,,,,,,,,,,,,,
qk003,Which Leg,no,,,,,,,,,,,,,,,,,,,,,,,,
qk004,How compliant?,no,,,,,,,,,,,,,,,,,,,,,,,,
pl001,eligible for Weight Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
pl002,Understand or Not?,no,,,,,,,,,,,,,,,,,,,,,,,,
ql001s1,Why Didn't R Complete The Weight Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
ql001s2,Why Didn't R Complete The Weight Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
ql001s3,Why Didn't R Complete The Weight Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
ql001s4,Why Didn't R Complete The Weight Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
ql001s5,Why Didn't R Complete The Weight Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
ql001s6,Why Didn't R Complete The Weight Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
ql001s7,Why Didn't R Complete The Weight Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
ql001s8,Why Didn't R Complete The Weight Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
ql001s97,Why Didn't R Complete The Weight Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
ql002,Weight,yes,,,,,,,,,,,,,,,,,,,,,,,,
ql003,The Type of Floor Surface,no,,,,,,,,,,,,,,,,,,,,,,,,
ql004,wearing shoes or not,no,,,,,,,,,,,,,,,,,,,,,,,,
ql005,How compliant?,no,,,,,,,,,,,,,,,,,,,,,,,,
pm001,Stand Or Not?,no,,,,,,,,,,,,,,,,,,,,,,,,
pm002,Understand or Not?,no,,,,,,,,,,,,,,,,,,,,,,,,
qm001s1,Why Didn't R Complete The Waist Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qm001s2,Why Didn't R Complete The Waist Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qm001s3,Why Didn't R Complete The Waist Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qm001s4,Why Didn't R Complete The Waist Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qm001s5,Why Didn't R Complete The Waist Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qm001s6,Why Didn't R Complete The Waist Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qm001s7,Why Didn't R Complete The Waist Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qm001s8,Why Didn't R Complete The Waist Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qm001s97,Why Didn't R Complete The Waist Measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
qm002,WAIST CIRCUMFERENCE,yes,,,,,,,,,,,,,,,,,,,,,,,,
qm003s1,difficulties occurred,no,,,,,,,,,,,,,,,,,,,,,,,,
qm003s2,difficulties occurred,no,,,,,,,,,,,,,,,,,,,,,,,,
qm003s3,difficulties occurred,no,,,,,,,,,,,,,,,,,,,,,,,,
qm003s4,difficulties occurred,no,,,,,,,,,,,,,,,,,,,,,,,,
qm003s5,difficulties occurred,no,,,,,,,,,,,,,,,,,,,,,,,,
qm003s6,difficulties occurred,no,,,,,,,,,,,,,,,,,,,,,,,,
qm003s97,difficulties occurred,no,,,,,,,,,,,,,,,,,,,,,,,,
qm004,How compliant?,no,,,,,,,,,,,,,,,,,,,,,,,,
qm005,Was the R wearing bulky clothing during this measurement?,no,,,,,,,,,,,,,,,,,,,,,,,,
versionID.x,Version ID,no,,,,,,,,,,,,,,,,,,,,,,,,
householdID.y,Household ID,no,,,,,,,,,,,,,,,,,,,,,,,,
communityID.y,Community ID,no,,,,,,,,,,,,,,,,,,,,,,,,
Blood_weight,Blood Weight with Household and Individual Response Adjustment,yes,这个不知道是个啥,,,,,,,,,,,,,,,,,,,,,,,
bl_fasting,Fasting Blood Sample or not,no,,,,,,,,,,,,,,,,,,,,,,,,
bl_wbc,White Blood Cell (in thousands),yes,,,,,,,,,,,,,,,,,,,,,,,,
bl_hgb,Hemoglobin (g/dl),yes,,,,,,,,,,,,,,,,,,,,,,,,
bl_hct,Hematocrit (%),yes,,,,,,,,,,,,,,,,,,,,,,,,
bl_mcv,Mean Corpuscular Volume (fl),yes,,,,,,,,,,,,,,,,,,,,,,,,
bl_plt,Platelets (10^9/L),yes,,,,,,,,,,,,,,,,,,,,,,,,
bl_tg,Triglycerides (mg/dl),yes,,,,,,,,,,,,,,,,,,,,,,,,
bl_top_coding_tg,Whether or not top-coding Triglycerides values to 500,yes,,,,,,,,,,,,,,,,,,,,,,,,
bl_crea,Creatinine (mg/dl),yes,,,,,,,,,,,,,,,,,,,,,,,,
bl_bun,Blood Urea Nitrogen (BUN) (mg/dl),yes,,,,,,,,,,,,,,,,,,,,,,,,
bl_hdl,HDL Cholesterol (mg/dl),yes,,,,,,,,,,,,,,,,,,,,,,,,
bl_ldl,LDL Cholesterol (mg/dl),yes,,,,,,,,,,,,,,,,,,,,,,,,
bl_cho,Total Cholesterol (mg/dl),yes,,,,,,,,,,,,,,,,,,,,,,,,
bl_glu,Glucose (mg/dl),yes,,,,,,,,,,,,,,,,,,,,,,,,
bl_ua,Uric Acid (mg/dl),yes,,,,,,,,,,,,,,,,,,,,,,,,
bl_cysc,Cystatin C (mg/l),yes,,,,,,,,,,,,,,,,,,,,,,,,
bl_crp,C-Reactive Protein (CRP) (mg/l),yes,,,,,,,,,,,,,,,,,,,,,,,,
bl_hbalc,Glycated Hemoglobin (%),yes,,,,,,,,,,,,,,,,,,,,,,,,
versionID.y,Version ID,no,,,,,,,,,,,,,,,,,,,,,,,,
householdID.x.x,Household ID,no,,,,,,,,,,,,,,,,,,,,,,,,
communityID.x.x,Community ID,no,,,,,,,,,,,,,,,,,,,,,,,,
ba000_w2_3,Gender,no,,,,,,,,,,,,,,,,,,,,,,,,
ba004_w3,Birth Time on ID Card or Hukou,no,年龄都算出来了，这些不用了,,,,,,,,,,,,,,,,,,,,,,,
ba004_w3_1,Birth Time on ID Card or Hukou:Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ba004_w3_2,Birth Time on ID Card or Hukou:Month,no,,,,,,,,,,,,,,,,,,,,,,,,
ba004_w3_3,Birth Time on ID Card or Hukou:Day,no,,,,,,,,,,,,,,,,,,,,,,,,
ba002,When were Your Born,no,,,,,,,,,,,,,,,,,,,,,,,,
ba002_1,When were You Born: Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ba002_2,When were You Born: Month,no,,,,,,,,,,,,,,,,,,,,,,,,
ba002_3,When were You Born: Day,no,,,,,,,,,,,,,,,,,,,,,,,,
ba003,Solar or Lunar Calendar,no,,,,,,,,,,,,,,,,,,,,,,,,
bb000_w3,What's Your Address in The Time of Last Interview,no,上次的地址是不是需要用来做描述性统计,,,,,,,,,,,,,,,,,,,,,,,
bb000_w3_1,What's The Type of The Address,no,,,,,,,,,,,,,,,,,,,,,,,,
bb000_w3_2,Was It Village or City/Town,no,,,,,,,,,,,,,,,,,,,,,,,,
bb001_w3,What's Your Address Now,yes,地址是不是需要用来做描述性统计,,,,,,,,,,,,,,,,,,,,,,,
bb001_w3_1,What's The Type of The Address,yes,,,,,,,,,,,,,,,,,,,,,,,,
bb001_w3_2,Was It Village or City/Town,yes,,,,,,,,,,,,,,,,,,,,,,,,
bb003,When Did You First Live in This County/City/District,no,,,,,,,,,,,,,,,,,,,,,,,,
bb004,"First Moved to Permanent Address, Did You Live in The Same Village/Community as",no,,,,,,,,,,,,,,,,,,,,,,,,
bb005,In Which Year Did You First Live In this Village/Community,no,,,,,,,,,,,,,,,,,,,,,,,,
bb005_w3_1,Would You Change Your Address in Next Two Years?,no,,,,,,,,,,,,,,,,,,,,,,,,
bb005_w3_2,Where Would Your New Address?,no,,,,,,,,,,,,,,,,,,,,,,,,
bb001,Where Were You Born,no,,,,,,,,,,,,,,,,,,,,,,,,
bc001_w3_1,Your Hukou Type and Your Hukou Location Are Right?,no,,,,,,,,,,,,,,,,,,,,,,,,
bc001_w3_2,What's Your Hukou Type in Last Interview,no,,,,,,,,,,,,,,,,,,,,,,,,
bc001_w3_3,What's Your Hukou Location in Last Interview,no,,,,,,,,,,,,,,,,,,,,,,,,
bc002_w3,"Since [ZIWTime], Have Your Hukou Type and Location Changed",no,,,,,,,,,,,,,,,,,,,,,,,,
bc002_w3_1,Your Hukou Type This Time?,no,,,,,,,,,,,,,,,,,,,,,,,,
bc002_w3_2,The Reason Why Hukou Type Changed,no,这个变更类型会影响内在能力吗,,,,,,,,,,,,,,,,,,,,,,,
bc002_w3_3_1,When Your Hukou Type Changed:Year,no,,,,,,,,,,,,,,,,,,,,,,,,
bc002_w3_3_2,When Your Hukou Type Changed:Month,no,,,,,,,,,,,,,,,,,,,,,,,,
bc002_w3_5,Why Your Hukou Location Changed,no,,,,,,,,,,,,,,,,,,,,,,,,
bc002_w3_6_1,When Your Hukou Location Changed:Year,no,,,,,,,,,,,,,,,,,,,,,,,,
bc002_w3_6_2,When Your Hukou Location Changed:Month,no,,,,,,,,,,,,,,,,,,,,,,,,
bd001_w2_4,Have Your Highest Level of Education Changed?,yes,可能需要提取以前的数据,,,,,,,,,,,,,,,,,,,,,,,
bd001_w3_1,Are You Literate?,yes,,,,,,,,,,,,,,,,,,,,,,,,
bd002_w3,How Many Years at School after [BD001_W2_4],no,这个和学历是不是相关,,,,,,,,,,,,,,,,,,,,,,,
bd006,At What Age Did You Finish Schooling,no,,,,,,,,,,,,,,,,,,,,,,,,
bd007_w2_1s1,Have You Ever Attended School for Adult Education Since Last Interview?,no,,,,,,,,,,,,,,,,,,,,,,,,
bd007_w2_1s2,Have You Ever Attended School for Adult Education Since Last Interview?,no,,,,,,,,,,,,,,,,,,,,,,,,
bd007_w2_1s3,Have You Ever Attended School for Adult Education Since Last Interview?,no,,,,,,,,,,,,,,,,,,,,,,,,
bd007_w2_1s4,Have You Ever Attended School for Adult Education Since Last Interview?,no,,,,,,,,,,,,,,,,,,,,,,,,
bd007_w2_1s5,Have You Ever Attended School for Adult Education Since Last Interview?,no,,,,,,,,,,,,,,,,,,,,,,,,
bd007_w2_1s6,Have You Ever Attended School for Adult Education Since Last Interview?,no,,,,,,,,,,,,,,,,,,,,,,,,
bd007_w2_1s7,Have You Ever Attended School for Adult Education Since Last Interview?,no,,,,,,,,,,,,,,,,,,,,,,,,
bd007_w2_1s8,Have You Ever Attended School for Adult Education Since Last Interview?,no,,,,,,,,,,,,,,,,,,,,,,,,
